iter	Passed	Remaining
417	2191	3050
418	2196	3046
419	2199	3037
420	2202	3028
421	2204	3020
422	2207	3010
423	2211	3004
424	2221	3005
425	2227	3001
426	2230	2993
427	2233	2984
428	2235	2975
429	2237	2966
430	2242	2960
431	2250	2959
432	2253	2951
433	2261	2949
434	2263	2940
435	2266	2931
436	2268	2923
437	2272	2916
438	2280	2914
439	2283	2906
440	2286	2898
441	2291	2893
442	2294	2884
443	2296	2875
444	2298	2867
445	2301	2859
446	2307	2854
447	2310	2847
448	2313	2838
449	2315	2830
450	2323	2827
451	2325	2819
452	2328	2811
453	2331	2803
454	2335	2797
455	2344	2796
456	2352	2795
457	2357	2789
458	2360	2781
459	2362	2773
460	2365	2765
461	2368	2758
462	2373	2752
463	2375	2744
464	2381	2740
465	2385	2734
466	2393	2731
467	2401	2730
468	2406	2724
469	2409	2716
470	2415	2712
471	2417	2704
472	2420	2696
473	2423	2689
474	2429	2685
475	2437	2683
476	2447	2683
477	2456	2682
478	2462	2678
479	2466	2672
480	2469	2664
481	2471	2656
482	2478	2653
483	2483	2647
484	2485	2639
485	2487	2630
486	2492	2625
487	2497	2620
488	2501	2613
489	2503	2605
490	2508	2600
491	2515	2596
492	2519	2591
493	2525	2586
494	2531	2582
495	2533	2574
496	2540	2570
497	2544	2565
498	2546	2556
499	2549	2549
500	2552	2542
501	2554	2534
502	2562	2531
503	2565	2524
504	2567	2516
505	2578	2517
506	2582	2511
507	2590	2508
508	2596	2504
509	2598	2496
510	2608	2496
511	2611	2488
512	2614	2481
513	2619	2476
514	2626	2473
515	2629	2466
516	2639	2465
517	2641	2457
518	2644	2450
519	2646	2443
520	2649	2436
521	2655	2431
522	2658	2424
523	2660	2417
524	2666	2412
525	2669	2405
526	2671	2398
527	2674	2390
528	2678	2384
529	2685	2381
530	2691	2377
531	2698	2374
532	2701	2366
533	2703	2359
534	2707	2352
535	2710	2346
536	2715	2341
537	2719	2335
538	2723	2329
539	2730	2326
540	2733	2319
541	2738	2314
542	2744	2309
543	2754	2309
544	2760	2304
545	2763	2297
546	2766	2291
547	2769	2284
548	2771	2277
549	2776	2271
550	2783	2268
551	2786	2261
552	2791	2256
553	2796	2251
554	2799	2244
555	2801	2237
556	2806	2231
557	2813	2228
558	2818	2223
559	2824	2219
560	2827	2212
561	2830	2205
562	2832	2198
563	2837	2193
564	2843	2189
565	2846	2182
566	2849	2175
567	2855	2172
568	2863	2168
569	2866	2162
570	2874	2159
571	2878	2153
572	2881	2147
573	2887	2142
574	2890	2136
575	2892	2129
576	2895	2122
577	2898	2116
578	2904	2111
579	2907	2105
580	2909	2098
581	2912	2091
582	2919	2088
583	2927	2085
584	2938	2084
585	2941	2078
586	2944	2071
587	2951	2067
588	2954	2061
589	2956	2054
590	2959	2048
591	2965	2043
592	2969	2038
593	2972	2031
594	2975	2025
595	2983	2022
596	2991	2019
597	2998	2015
598	3004	2011
599	3007	2005
600	3013	2000
601	3016	1994
602	3020	1988
603	3024	1983
604	3033	1980
605	3036	1974
606	3042	1969
607	3052	1967
608	3058	1963
609	3065	1960
610	3068	1953
611	3072	1947
612	3075	1941
613	3078	1935
614	3080	1928
615	3083	1921
616	3085	1915
617	3089	1909
618	3096	1906
619	3099	1899
620	3106	1895
621	3109	1889
622	3111	1882
623	3113	1876
624	3116	1869
625	3119	1863
626	3130	1862
627	3132	1855
628	3138	1851
629	3141	1844
630	3143	1838
631	3146	1832
632	3149	1825
633	3156	1822
634	3161	1817
635	3168	1813
636	3171	1807
637	3174	1801
638	3176	1794
639	3182	1789
640	3190	1786
641	3193	1780
642	3202	1777
643	3204	1771
644	3207	1765
645	3210	1759
646	3214	1753
647	3221	1750
648	3225	1744
649	3229	1739
650	3231	1732
651	3234	1726
652	3236	1719
653	3238	1713
654	3242	1708
655	3248	1703
656	3252	1697
657	3254	1691
658	3259	1686
659	3262	1680
660	3265	1674
661	3267	1668
662	3270	1662
663	3273	1656
664	3280	1652
665	3284	1647
666	3288	1641
667	3292	1636
668	3295	1630
669	3297	1624
670	3300	1618
671	3303	1612
672	3308	1607
673	3313	1602
674	3315	1596
675	3321	1592
676	3331	1589
677	3340	1586
678	3348	1583
679	3358	1580
680	3360	1574
681	3363	1568
682	3368	1563
683	3374	1558
684	3376	1552
685	3387	1550
686	3392	1545
687	3398	1541
688	3407	1538
689	3420	1536
690	3423	1530
691	3427	1525
692	3433	1520
693	3435	1514
694	3438	1508
695	3444	1504
696	3452	1500
697	3457	1496
698	3462	1491
699	3466	1485
700	3469	1479
701	3474	1475
702	3478	1469
703	3480	1463
704	3482	1457
705	3485	1451
706	3488	1445
707	3493	1441
708	3497	1435
709	3499	1429
710	3504	1424
711	3509	1419
712	3516	1415
713	3537	1416
714	3540	1411
715	3543	1405
716	3546	1399
717	3548	1393
718	3553	1388
719	3562	1385
720	3569	1381
721	3573	1375
722	3575	1370
723	3578	1364
724	3581	1358
725	3584	1352
726	3593	1349
727	3595	1343
728	3603	1339
729	3605	1333
730	3608	1327
731	3611	1322
732	3624	1320
733	3629	1315
734	3633	1309
735	3635	1304
736	3638	1298
737	3640	1292
738	3645	1287
739	3650	1282
740	3653	1277
741	3656	1271
742	3665	1267
743	3668	1262
744	3671	1256
745	3675	1251
746	3685	1248
747	3688	1242
748	3694	1238
749	3696	1232
750	3699	1226
751	3701	1220
752	3704	1215
753	3709	1210
754	3714	1205
755	3718	1200
756	3723	1195
757	3727	1189
758	3729	1184
759	3733	1178
760	3735	1173
761	3740	1168
762	3747	1164
763	3751	1158
764	3760	1155
765	3763	1149
766	3766	1144
767	3771	1139
768	3779	1135
769	3782	1129
770	3788	1125
771	3799	1122
772	3806	1117
773	3810	1112
774	3813	1107
775	3815	1101
776	3820	1096
777	3824	1091
778	3826	1085
779	3828	1079
780	3830	1074
781	3836	1069
782	3839	1064
